timestamp,method,task,ctx,em,latency_sec,status,result_path
2026-05-30T15:24:34+08:00,LCA,sh,6k,96.0,0,skipped,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in6000_size10_shots0_max_samplesunknown_results.json
2026-05-30T15:28:31+08:00,LCA,mh,6k,16.0,237,OK,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in6000_size10_shots0_max_samplesunknown_results.json
2026-05-30T15:40:48+08:00,Mem0,sh,6k,92.0,736,OK,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T15:51:40+08:00,Mem0,mh,6k,52.0,652,OK,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T15:55:10+08:00,LCA,sh,6k,96.0,0,skipped,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in6000_size10_shots0_max_samplesunknown_results.json
2026-05-30T15:55:10+08:00,LCA,mh,6k,16.0,0,skipped,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in6000_size10_shots0_max_samplesunknown_results.json
2026-05-30T15:55:10+08:00,Mem0,sh,6k,92.0,0,skipped,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T15:55:10+08:00,Mem0,mh,6k,52.0,0,skipped,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T15:55:23+08:00,HippoRAG-v2-vanilla,sh,6k,,13,FAIL_exit1,outputs/gemini-3.1-flash-lite-hippo_rag_v2_nv-vanilla-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in*_size10_shots0_max_samplesunknown*_results.json
2026-05-30T15:55:36+08:00,HippoRAG-v2-vanilla,mh,6k,,13,FAIL_exit1,outputs/gemini-3.1-flash-lite-hippo_rag_v2_nv-vanilla-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in*_size10_shots0_max_samplesunknown*_results.json
2026-05-30T16:23:14+08:00,Mem0g-promptaware,sh,6k,79.0,1657,OK,outputs/gemini-3.1-flash-lite-mem0g-promptaware-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T16:54:26+08:00,Mem0g-promptaware,mh,6k,66.0,1871,OK,outputs/gemini-3.1-flash-lite-mem0g-promptaware-chunk512-temp0/Conflict_Resolution/factconsolidation_mh_6k_unknown_in6000_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T16:58:32+08:00,LCA,sh,32k,91.0,196,OK,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_sh_32k_unknown_in32768_size10_shots0_max_samplesunknown_results.json
2026-05-30T17:01:40+08:00,LCA,mh,32k,19.0,188,OK,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_mh_32k_unknown_in32768_size10_shots0_max_samplesunknown_results.json
2026-05-30T17:54:53+08:00,Mem0,sh,32k,90.0,3193,OK,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_32k_unknown_in32768_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T18:47:47+08:00,Mem0,mh,32k,39.0,3174,OK,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_mh_32k_unknown_in32768_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T20:58:29+08:00,Mem0g-promptaware,sh,32k,89.0,7841,OK,outputs/gemini-3.1-flash-lite-mem0g-promptaware-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_32k_unknown_in32768_size10_shots0_max_samplesunknown_k100_chunk512_results.json
2026-05-30T23:07:04+08:00,Mem0g-promptaware,mh,32k,40.0,7714,OK,outputs/gemini-3.1-flash-lite-mem0g-promptaware-chunk512-temp0/Conflict_Resolution/factconsolidation_mh_32k_unknown_in32768_size10_shots0_max_samplesunknown_k100_chunk512_results.json
LCA,sh,64k,90.0,189,OK_corrected,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_sh_64k_unknown_in65536_size10_shots0_max_samples1_results.json
2026-05-31T14:03:43+08:00,LCA,mh,64k,12.0,242,OK,outputs/gemini-3.1-flash-lite-temp0/Conflict_Resolution/factconsolidation_mh_64k_unknown_in65536_size10_shots0_max_samplesunknown_results.json
2026-05-31T15:47:52+08:00,Mem0,sh,64k,,6249,FAIL_exit0,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_64k_unknown_in*_size10_shots0_max_samplesunknown*_results.json
2026-05-31T15:48:29+08:00,Mem0,sh,64k,88.0,~3600,OK_corrected,outputs/gemini-3.1-flash-lite-mem0-chunk512-temp0/Conflict_Resolution/factconsolidation_sh_64k_unknown_in65536_size10_shots0_max_samples1_k100_chunk512_results.json
