ts,phase,gpu_mem_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc,rss_gb
1778577071.70,init,0.000,0.0,4.81,119.64,0.0,0.0,0.00
1778577073.77,init,0.000,0.0,5.12,119.64,8.1,0.0,0.00
1778577075.81,init,0.000,0.0,5.25,119.64,6.2,0.0,0.00
1778577077.86,init,0.000,0.0,5.27,119.64,0.7,0.0,0.00
1778577079.91,init,0.000,0.0,5.27,119.64,1.2,0.0,0.00
1778577081.96,init,0.000,0.0,5.29,119.64,0.6,0.0,0.00
1778577084.01,query,0.000,0.0,5.51,119.64,3.1,0.0,0.00
1778577086.06,query,0.000,1.0,7.34,119.64,4.3,0.0,0.00
1778577088.11,query,0.000,11.0,19.63,119.64,11.2,0.0,0.00
1778577090.16,query,0.000,11.0,31.10,119.64,11.4,0.0,0.00
1778577092.22,query,0.000,0.0,41.36,119.64,8.1,0.0,0.00
1778577094.37,query,0.000,96.0,53.44,119.64,3.8,0.0,0.00
1778577096.44,query,0.000,0.0,61.56,119.64,2.6,0.0,0.00
1778577098.48,query,0.000,0.0,61.58,119.64,0.6,0.0,0.00
1778577100.52,query,0.000,0.0,61.58,119.64,0.7,0.0,0.00
1778577102.56,query,0.000,0.0,61.60,119.64,0.7,0.0,0.00
1778577104.60,query,0.000,96.0,61.63,119.64,4.5,0.0,0.00
1778577106.69,query,0.000,96.0,61.65,119.64,4.5,0.0,0.00
1778577108.79,query,0.000,96.0,61.67,119.64,5.7,0.0,0.00
1778577110.90,query,0.000,96.0,61.71,119.64,5.4,0.0,0.00
1778577113.00,query,0.000,96.0,61.77,119.64,4.9,0.0,0.00
1778577115.12,query,0.000,96.0,61.79,119.64,5.6,0.0,0.00
1778577117.23,query,0.000,96.0,61.79,119.64,5.6,0.0,0.00
1778577119.32,query,0.000,96.0,61.78,119.64,6.2,0.0,0.00
1778577121.42,query,0.000,96.0,61.75,119.64,6.1,0.0,0.00
1778577123.54,query,0.000,96.0,61.73,119.64,6.1,0.0,0.00
1778577125.60,query,0.000,96.0,37.81,119.64,5.6,0.0,0.00
1778577127.64,transition,0.000,93.0,52.93,119.64,6.7,0.0,0.00
1778577129.69,transition,0.000,0.0,52.91,119.64,1.0,0.0,0.00
1778577131.73,transition,0.000,0.0,52.89,119.64,4.9,0.0,0.00
1778577133.77,transition,0.000,0.0,52.88,119.64,1.2,0.0,0.00
1778577135.88,transition,0.000,0.0,52.88,119.64,5.1,0.0,0.00
1778577137.97,transition,0.000,95.0,52.88,119.64,2.0,0.0,0.00
1778577140.03,transition,0.000,0.0,52.87,119.64,4.2,0.0,0.00
1778577142.08,transition,0.000,0.0,52.87,119.64,0.6,0.0,0.00
1778577144.12,transition,0.000,0.0,52.86,119.64,0.7,0.0,0.00
1778577146.16,transition,0.000,0.0,52.84,119.64,0.7,0.0,0.00
1778577148.20,transition,0.000,0.0,52.84,119.64,0.8,0.0,0.00
1778577150.25,transition,0.000,0.0,52.84,119.64,0.7,0.0,0.00
1778577152.29,transition,0.000,0.0,52.84,119.64,0.7,0.0,0.00
1778577154.33,transition,0.000,0.0,52.85,119.64,5.0,0.0,0.00
1778577156.42,transition,0.000,96.0,52.87,119.64,2.3,0.0,0.00
1778577158.52,transition,0.000,57.0,52.87,119.64,4.3,0.0,0.00
1778577160.56,transition,0.000,95.0,52.88,119.64,4.9,0.0,0.00
1778577162.60,transition,0.000,0.0,52.88,119.64,1.1,0.0,0.00
1778577164.72,transition,0.000,0.0,52.86,119.64,5.2,0.0,0.00
1778577166.79,transition,0.000,96.0,52.86,119.64,4.9,0.0,0.00
1778577168.83,transition,0.000,95.0,52.86,119.64,1.0,0.0,0.00
1778577170.87,transition,0.000,96.0,52.86,119.64,4.6,0.0,0.00
1778577172.92,transition,0.000,0.0,52.85,119.64,1.6,0.0,0.00
1778577175.00,transition,0.000,96.0,52.86,119.64,4.5,0.0,0.00
1778577177.04,transition,0.000,43.0,52.87,119.64,4.7,0.0,0.00
1778577179.08,transition,0.000,0.0,52.88,119.64,1.0,0.0,0.00
1778577181.12,transition,0.000,0.0,52.88,119.64,4.8,0.0,0.00
1778577183.17,transition,0.000,96.0,52.88,119.64,1.8,0.0,0.00
1778577185.26,transition,0.000,0.0,52.87,119.64,4.6,0.0,0.00
1778577187.31,transition,0.000,0.0,52.86,119.64,4.5,0.0,0.00
1778577189.35,transition,0.000,0.0,52.85,119.64,1.3,0.0,0.00
1778577191.44,transition,0.000,0.0,52.85,119.64,4.9,0.0,0.00
1778577193.55,transition,0.000,96.0,52.84,119.64,2.0,0.0,0.00
1778577195.60,transition,0.000,88.0,52.85,119.64,3.8,0.0,0.00
1778577197.64,transition,0.000,95.0,52.85,119.64,5.0,0.0,0.00
1778577199.69,transition,0.000,0.0,52.85,119.64,1.5,0.0,0.00
1778577201.78,transition,0.000,0.0,52.85,119.64,5.0,0.0,0.00
1778577203.82,transition,0.000,96.0,52.85,119.64,4.9,0.0,0.00
1778577205.87,transition,0.000,95.0,52.85,119.64,1.0,0.0,0.00
1778577207.91,transition,0.000,95.0,52.86,119.64,5.0,0.0,0.00
1778577209.95,transition,0.000,0.0,52.86,119.64,0.9,0.0,0.00
1778577212.00,transition,0.000,96.0,52.87,119.64,4.9,0.0,0.00
1778577214.04,transition,0.000,0.0,52.87,119.64,1.0,0.0,0.00
1778577216.14,transition,0.000,72.0,52.87,119.64,5.1,0.0,0.00
1778577218.23,transition,0.000,95.0,52.87,119.64,4.8,0.0,0.00
1778577220.27,transition,0.000,0.0,52.86,119.64,1.0,0.0,0.00
1778577222.31,transition,0.000,0.0,52.86,119.64,5.1,0.0,0.00
1778577224.36,transition,0.000,0.0,52.86,119.64,1.6,0.0,0.00
1778577226.45,transition,0.000,0.0,52.85,119.64,4.9,0.0,0.00
1778577228.49,transition,0.000,96.0,52.85,119.64,5.0,0.0,0.00
1778577230.54,transition,0.000,0.0,52.87,119.64,1.5,0.0,0.00
1778577232.58,transition,0.000,30.0,52.86,119.64,5.0,0.0,0.00
1778577234.62,transition,0.000,0.0,52.85,119.64,1.9,0.0,0.00
1778577236.73,transition,0.000,0.0,52.86,119.64,4.9,0.0,0.00
1778577238.77,transition,0.000,96.0,52.87,119.64,2.0,0.0,0.00
1778577240.81,transition,0.000,95.0,52.84,119.64,4.2,0.0,0.00
1778577242.85,transition,0.000,0.0,52.84,119.64,4.8,0.0,0.00
1778577244.89,transition,0.000,95.0,52.85,119.64,2.7,0.0,0.00
1778577246.94,transition,0.000,83.0,52.84,119.64,5.0,0.0,0.00
1778577249.04,transition,0.000,96.0,52.84,119.64,2.1,0.0,0.00
1778577251.12,transition,0.000,0.0,52.86,119.64,4.2,0.0,0.00
1778577253.16,transition,0.000,0.0,52.85,119.64,5.0,0.0,0.00
1778577255.20,transition,0.000,94.0,52.84,119.64,1.5,0.0,0.00
1778577257.31,transition,0.000,70.0,52.83,119.64,5.0,0.0,0.00
1778577259.35,transition,0.000,94.0,52.83,119.64,5.0,0.0,0.00
1778577261.39,transition,0.000,0.0,52.84,119.64,1.0,0.0,0.00
1778577263.43,transition,0.000,0.0,52.87,119.64,5.1,0.0,0.00
1778577265.47,transition,0.000,22.0,52.86,119.64,1.9,0.0,0.00
1778577267.57,transition,0.000,95.0,52.86,119.64,4.6,0.0,0.00
1778577269.62,transition,0.000,96.0,52.86,119.64,5.1,0.0,0.00
1778577271.66,transition,0.000,85.0,52.85,119.64,1.0,0.0,0.00
1778577273.70,transition,0.000,0.0,52.84,119.64,5.0,0.0,0.00
1778577275.76,transition,0.000,0.0,52.86,119.64,1.9,0.0,0.00
1778577277.86,transition,0.000,0.0,52.85,119.64,4.6,0.0,0.00
1778577279.90,transition,0.000,96.0,52.86,119.64,4.9,0.0,0.00
1778577281.95,transition,0.000,0.0,52.87,119.64,1.0,0.0,0.00
1778577283.99,transition,0.000,96.0,52.85,119.64,5.0,0.0,0.00
1778577286.04,transition,0.000,93.0,52.86,119.64,1.7,0.0,0.00
1778577288.13,transition,0.000,0.0,52.85,119.64,4.7,0.0,0.00
