ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778579404.28,init,0.000,0.000,0.0,4.91,119.64,0.0,0.0,0.02,1
1778579406.34,init,0.000,0.000,0.0,5.34,119.64,10.2,0.0,0.69,3
1778579408.41,setup/mh_6k,0.000,0.000,0.0,5.37,119.64,2.9,0.0,0.75,3
1778579410.47,setup/mh_6k,0.000,0.000,0.0,5.70,119.64,3.5,0.0,1.47,4
1778579412.53,indexing/mh_6k,8.719,8.719,0.0,15.22,119.64,8.0,0.0,6.92,4
1778579414.61,indexing/mh_6k,27.957,27.957,3.0,35.31,119.64,20.0,0.0,2.65,4
1778579416.67,indexing/mh_6k,45.632,45.632,96.0,53.97,119.64,6.6,0.0,3.37,4
1778579418.74,indexing/mh_6k,51.245,51.245,96.0,59.85,119.64,2.9,0.0,3.56,4
1778579420.83,indexing/mh_6k,51.245,51.245,0.0,59.87,119.64,2.9,0.0,3.56,4
1778579422.88,indexing/mh_6k,51.245,51.245,0.0,59.88,119.64,1.0,0.0,3.56,4
1778579424.94,indexing/mh_6k,51.245,51.245,0.0,59.87,119.64,0.9,0.0,3.56,4
1778579426.99,indexing/mh_6k,51.245,51.245,0.0,59.85,119.64,0.9,0.0,3.56,4
1778579429.05,indexing/mh_6k,51.245,51.245,0.0,59.86,119.64,1.0,0.0,3.56,4
1778579431.11,indexing/mh_6k,51.245,51.245,0.0,59.85,119.64,0.7,0.0,3.56,4
1778579433.17,indexing/mh_6k,51.245,51.245,0.0,59.84,119.64,0.7,0.0,3.56,4
1778579435.22,indexing/mh_6k,51.245,51.245,0.0,59.84,119.64,0.7,0.0,3.56,4
1778579437.27,indexing/mh_6k,51.245,51.245,0.0,59.83,119.64,1.1,0.0,3.56,4
1778579439.32,indexing/mh_6k,51.245,51.245,0.0,59.83,119.64,0.8,0.0,3.56,4
1778579441.38,indexing/mh_6k,51.245,51.245,0.0,59.82,119.64,0.7,0.0,3.56,4
1778579443.43,indexing/mh_6k,51.245,51.245,0.0,59.82,119.64,0.8,0.0,3.56,4
1778579445.49,indexing/mh_6k,51.245,51.245,0.0,59.81,119.64,0.8,0.0,3.56,4
1778579447.54,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.6,0.0,3.56,4
1778579449.60,indexing/mh_6k,51.245,51.245,0.0,59.82,119.64,0.7,0.0,3.56,4
1778579451.64,indexing/mh_6k,51.245,51.245,0.0,59.84,119.64,1.9,0.0,3.56,4
1778579453.69,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.6,0.0,3.56,4
1778579455.74,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.4,0.0,3.56,4
1778579457.80,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579459.85,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.2,0.0,3.56,4
1778579461.90,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579463.95,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579466.00,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579468.05,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579470.11,indexing/mh_6k,51.245,51.245,0.0,59.81,119.64,0.2,0.0,3.56,4
1778579472.16,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579474.22,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.2,0.0,3.56,4
1778579476.28,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579478.33,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.3,0.0,3.56,4
1778579480.38,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.3,0.0,3.56,4
1778579482.43,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.4,0.0,3.56,4
1778579484.48,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.2,0.0,3.56,4
1778579486.53,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.3,0.0,3.56,4
1778579488.59,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.3,0.0,3.56,4
1778579490.64,indexing/mh_6k,51.245,51.245,0.0,59.77,119.64,0.5,0.0,3.56,4
1778579492.70,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.5,0.0,3.56,4
1778579494.76,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579496.82,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.3,0.0,3.56,4
1778579498.87,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.2,0.0,3.56,4
1778579500.92,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579502.97,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.4,0.0,3.56,4
1778579505.02,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.4,0.0,3.56,4
1778579507.08,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.6,0.0,3.56,4
1778579509.14,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579511.20,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.5,0.0,3.56,4
1778579513.26,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.2,0.0,3.56,4
1778579515.32,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579517.37,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.4,0.0,3.56,4
1778579519.42,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.3,0.0,3.56,4
1778579521.47,indexing/mh_6k,51.245,51.245,0.0,59.81,119.64,0.3,0.0,3.56,4
1778579523.52,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.2,0.0,3.56,4
1778579525.58,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.2,0.0,3.56,4
1778579527.63,indexing/mh_6k,51.245,51.245,0.0,59.80,119.64,0.4,0.0,3.56,4
1778579529.68,indexing/mh_6k,51.245,51.245,0.0,59.79,119.64,0.3,0.0,3.56,4
1778579531.74,indexing/mh_6k,51.245,51.245,0.0,59.78,119.64,0.2,0.0,3.56,4
