ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778580447.05,init,0.000,0.000,0.0,4.97,119.64,0.0,0.0,0.01,1
1778580449.11,init,0.000,0.000,0.0,5.46,119.64,11.5,0.0,0.70,3
1778580451.17,setup/mh_6k,0.000,0.000,0.0,5.51,119.64,1.2,0.0,0.75,3
1778580453.23,setup/mh_6k,0.000,0.000,0.0,5.78,119.64,2.9,0.0,1.43,4
1778580455.30,indexing/mh_6k,5.156,5.156,0.0,11.22,119.64,6.2,0.0,4.52,4
1778580457.38,indexing/mh_6k,25.801,25.801,0.0,32.74,119.64,14.8,0.0,6.12,4
1778580459.46,indexing/mh_6k,43.757,43.757,96.0,51.43,119.64,7.1,0.0,3.36,4
1778580461.60,indexing/mh_6k,51.245,51.245,67.0,59.94,119.64,4.2,0.0,3.56,4
1778580463.69,indexing/mh_6k,51.245,51.245,0.0,59.96,119.64,1.7,0.0,3.56,4
1778580465.75,indexing/mh_6k,51.245,51.245,0.0,59.90,119.64,0.6,0.0,3.56,4
1778580467.80,indexing/mh_6k,51.245,51.245,0.0,59.90,119.64,0.5,0.0,3.56,4
1778580469.85,indexing/mh_6k,51.245,51.245,0.0,59.89,119.64,1.6,0.0,3.56,4
1778580471.91,indexing/mh_6k,51.245,51.245,0.0,59.90,119.64,0.8,0.0,3.56,4
