ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778580866.67,init,0.000,0.000,0.0,4.97,119.64,0.0,0.0,0.02,1
1778580868.73,setup/smoke_6k,0.000,0.000,0.0,5.39,119.64,8.8,0.0,1.01,4
1778580870.79,indexing/smoke_6k,0.000,0.000,0.0,5.42,119.64,0.5,0.0,1.01,4
1778580872.85,indexing/smoke_6k,6.344,6.344,0.0,12.20,119.64,10.2,0.0,4.74,4
1778580874.91,indexing/smoke_6k,27.957,27.957,25.0,35.00,119.64,15.7,0.0,6.90,4
1778580876.96,indexing/smoke_6k,44.587,44.587,96.0,52.85,119.64,6.1,0.0,3.14,4
1778580879.05,indexing/smoke_6k,44.587,44.587,96.0,52.90,119.64,5.0,0.0,3.14,4
1778580881.14,indexing/smoke_6k,44.587,44.587,96.0,52.88,119.64,4.8,0.0,3.15,4
1778580883.23,indexing/smoke_6k,46.544,46.544,96.0,54.85,119.64,5.5,0.0,3.14,4
1778580885.33,indexing/smoke_6k,34.452,34.452,9.0,41.88,119.64,4.5,0.0,3.14,4
1778580887.49,indexing/smoke_6k,50.075,50.075,96.0,58.45,119.64,7.5,0.0,3.14,4
1778580889.57,query/smoke_6k,50.075,50.075,0.0,58.44,119.64,0.8,0.0,3.14,4
1778580891.62,done/smoke_6k,50.075,50.075,0.0,58.40,119.64,0.7,0.0,3.14,4
