ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778580955.85,init,0.000,0.000,0.0,4.97,119.64,0.0,0.0,0.02,1
1778580957.90,init,0.000,0.000,0.0,5.47,119.64,8.8,0.0,1.00,4
1778580959.96,indexing/smoke_6k,0.000,0.000,0.0,5.49,119.64,0.5,0.0,1.01,4
1778580962.03,indexing/smoke_6k,0.412,0.412,1.0,6.21,119.64,5.5,0.0,1.28,4
1778580964.09,indexing/smoke_6k,0.631,0.631,1.0,6.76,119.64,1.6,0.0,1.63,4
1778580966.15,indexing/smoke_6k,1.041,1.041,1.0,7.50,119.64,1.4,0.0,1.99,4
1778580968.21,indexing/smoke_6k,1.342,1.342,2.0,8.19,119.64,1.7,0.0,2.35,4
1778580970.27,indexing/smoke_6k,1.752,1.752,2.0,9.04,119.64,1.4,0.0,2.78,4
1778580972.34,indexing/smoke_6k,2.162,2.162,1.0,9.80,119.64,1.7,0.0,3.13,4
1778580974.40,indexing/smoke_6k,2.463,2.463,1.0,10.43,119.64,1.5,0.0,3.47,4
1778580976.46,indexing/smoke_6k,2.791,2.791,2.0,11.13,119.64,1.4,0.0,3.83,4
1778580978.52,indexing/smoke_6k,3.201,3.201,2.0,11.88,119.64,1.7,0.0,4.19,4
1778580980.58,indexing/smoke_6k,4.725,4.725,1.0,14.98,119.64,2.1,0.0,5.73,4
1778580982.64,indexing/smoke_6k,5.068,5.068,1.0,11.59,119.64,2.2,0.0,1.37,4
1778580984.69,indexing/smoke_6k,5.369,5.369,2.0,12.24,119.64,1.5,0.0,1.74,4
1778580986.74,indexing/smoke_6k,6.189,6.189,1.0,13.37,119.64,1.6,0.0,2.46,4
1778580988.79,indexing/smoke_6k,6.459,6.459,1.0,13.98,119.64,1.7,0.0,2.80,4
1778580990.85,indexing/smoke_6k,6.818,6.818,1.0,14.66,119.64,1.5,0.0,3.13,4
1778580992.90,indexing/smoke_6k,7.119,7.119,1.0,15.29,119.64,1.7,0.0,3.46,4
1778580994.96,indexing/smoke_6k,7.939,7.939,1.0,16.65,119.64,1.6,0.0,4.20,4
1778580997.01,indexing/smoke_6k,8.240,8.240,1.0,17.32,119.64,1.5,0.0,4.54,4
1778580999.06,indexing/smoke_6k,8.650,8.650,1.0,18.09,119.64,1.6,0.0,4.89,4
1778581001.12,indexing/smoke_6k,8.979,8.979,1.0,18.78,119.64,1.3,0.0,5.25,4
1778581003.17,indexing/smoke_6k,9.279,9.279,1.0,19.46,119.64,1.6,0.0,5.61,4
1778581005.22,indexing/smoke_6k,9.689,9.689,1.0,15.48,119.64,1.9,0.0,1.34,4
1778581007.28,indexing/smoke_6k,9.959,9.959,1.0,16.23,119.64,1.4,0.0,1.69,4
1778581009.34,indexing/smoke_6k,10.729,10.729,1.0,17.72,119.64,1.9,0.0,2.42,4
1778581011.40,indexing/smoke_6k,11.139,11.139,1.0,18.52,119.64,1.2,0.0,2.80,4
1778581013.46,indexing/smoke_6k,11.439,11.439,2.0,19.18,119.64,1.6,0.0,3.15,4
1778581015.52,indexing/smoke_6k,12.150,12.150,1.0,20.64,119.64,1.6,0.0,3.88,4
1778581017.58,indexing/smoke_6k,12.561,12.561,2.0,21.44,119.64,1.2,0.0,4.26,4
1778581019.63,indexing/smoke_6k,12.971,12.971,2.0,22.22,119.64,1.6,0.0,4.62,4
1778581021.69,indexing/smoke_6k,13.271,13.271,1.0,22.88,119.64,1.4,0.0,4.96,4
1778581023.75,indexing/smoke_6k,13.600,13.600,1.0,23.61,119.64,1.5,0.0,5.32,4
1778581025.80,indexing/smoke_6k,14.010,14.010,2.0,24.39,119.64,1.4,0.0,5.67,4
1778581027.85,indexing/smoke_6k,14.283,14.283,1.0,20.25,119.64,2.3,0.0,1.29,4
1778581029.91,indexing/smoke_6k,14.611,14.611,1.0,20.92,119.64,1.4,0.0,1.63,4
1778581031.97,indexing/smoke_6k,14.934,14.934,1.0,20.82,119.64,1.6,0.0,1.23,4
1778581034.03,indexing/smoke_6k,16.062,16.062,96.0,22.82,119.64,5.1,0.0,2.12,4
1778581036.11,indexing/smoke_6k,18.013,18.013,96.0,24.81,119.64,5.0,0.0,2.13,4
1778581038.21,indexing/smoke_6k,18.104,18.104,96.0,24.11,119.64,4.3,0.0,2.13,4
1778581040.41,query/smoke_6k,21.062,21.062,96.0,27.95,119.64,4.2,0.0,2.13,4
1778581042.47,done/smoke_6k,21.062,21.062,0.0,27.96,119.64,0.3,0.0,2.13,4
1778581044.52,done/smoke_6k,0.224,0.224,0.0,6.76,119.64,1.2,0.0,1.79,3
