ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778581614.93,init,0.000,0.000,0.0,5.00,119.64,0.0,0.0,0.02,2
1778581616.99,init,0.000,0.000,0.0,5.51,119.64,11.7,0.0,0.70,4
1778581619.06,setup/sh_6k,0.000,0.000,0.0,5.54,119.64,1.2,0.0,0.76,4
1778581621.12,setup/sh_6k,0.000,0.000,0.0,5.87,119.64,3.5,0.0,1.46,5
1778581623.18,indexing/sh_6k,0.412,0.412,1.0,6.47,119.64,2.3,0.0,1.73,5
1778581625.24,indexing/sh_6k,0.631,0.631,1.0,7.03,119.64,1.7,0.0,2.06,5
1778581627.30,indexing/sh_6k,1.041,1.041,2.0,7.79,119.64,1.4,0.0,2.42,5
1778581629.36,indexing/sh_6k,1.342,1.342,2.0,8.49,119.64,1.4,0.0,2.79,5
1778581631.42,indexing/sh_6k,1.861,1.861,1.0,9.34,119.64,1.6,0.0,3.21,5
1778581633.49,indexing/sh_6k,2.162,2.162,1.0,10.12,119.64,1.6,0.0,3.56,5
1778581635.55,indexing/sh_6k,2.463,2.463,1.0,10.74,119.64,1.7,0.0,3.90,5
1778581637.61,indexing/sh_6k,2.811,2.811,1.0,11.46,119.64,1.4,0.0,4.25,5
1778581639.67,indexing/sh_6k,3.201,3.201,2.0,12.21,119.64,1.5,0.0,4.60,5
1778581641.73,indexing/sh_6k,4.725,4.725,2.0,15.30,119.64,2.3,0.0,6.13,5
1778581643.79,indexing/sh_6k,4.959,4.959,0.0,11.38,119.64,2.1,0.0,1.75,5
1778581645.85,indexing/sh_6k,5.369,5.369,1.0,12.10,119.64,1.5,0.0,2.08,5
1778581647.91,indexing/sh_6k,5.670,5.670,1.0,12.73,119.64,1.2,0.0,2.43,5
1778581649.97,indexing/sh_6k,6.408,6.408,2.0,14.03,119.64,1.7,0.0,3.16,5
1778581652.03,indexing/sh_6k,6.818,6.818,1.0,14.81,119.64,1.4,0.0,3.52,5
1778581654.09,indexing/sh_6k,7.119,7.119,1.0,15.44,119.64,1.3,0.0,3.86,5
1778581656.14,indexing/sh_6k,7.830,7.830,1.0,16.88,119.64,1.7,0.0,4.58,5
1778581658.19,indexing/sh_6k,8.240,8.240,2.0,17.65,119.64,1.2,0.0,4.94,5
1778581660.25,indexing/sh_6k,8.541,8.541,2.0,18.29,119.64,1.5,0.0,5.28,5
1778581662.31,indexing/sh_6k,8.979,8.979,1.0,19.05,119.64,1.4,0.0,5.64,5
1778581664.37,indexing/sh_6k,9.279,9.279,1.0,19.73,119.64,1.4,0.0,5.98,5
1778581666.43,indexing/sh_6k,9.580,9.580,1.0,16.00,119.64,2.0,0.0,1.70,5
1778581668.48,indexing/sh_6k,9.908,9.908,1.0,16.71,119.64,1.2,0.0,2.07,5
1778581670.54,indexing/sh_6k,10.729,10.729,1.0,18.04,119.64,1.6,0.0,2.81,5
1778581672.59,indexing/sh_6k,11.029,11.029,1.0,18.70,119.64,1.2,0.0,3.17,5
1778581674.64,indexing/sh_6k,11.439,11.439,1.0,19.47,119.64,1.5,0.0,3.51,5
1778581676.69,indexing/sh_6k,12.150,12.150,1.0,20.92,119.64,1.7,0.0,4.23,5
1778581678.75,indexing/sh_6k,12.561,12.561,1.0,21.60,119.64,1.3,0.0,4.59,5
1778581680.82,indexing/sh_6k,12.830,12.830,1.0,22.28,119.64,1.4,0.0,4.94,5
1778581682.88,indexing/sh_6k,13.189,13.189,1.0,22.98,119.64,1.3,0.0,5.29,5
1778581684.94,indexing/sh_6k,13.600,13.600,2.0,23.81,119.64,1.3,0.0,5.66,5
1778581687.00,indexing/sh_6k,13.900,13.900,1.0,24.45,119.64,1.4,0.0,6.02,5
1778581689.07,indexing/sh_6k,14.393,14.393,1.0,20.72,119.64,2.0,0.0,1.76,5
1778581691.13,indexing/sh_6k,14.721,14.721,1.0,21.39,119.64,1.3,0.0,2.13,5
1778581693.18,indexing/sh_6k,16.306,16.306,1.0,22.89,119.64,2.6,0.0,2.34,5
1778581695.26,indexing/sh_6k,21.062,21.062,96.0,28.19,119.64,3.2,0.0,2.54,5
1778581697.34,indexing/sh_6k,21.062,21.062,0.0,28.24,119.64,1.2,0.0,2.55,5
1778581699.39,indexing/sh_6k,21.062,21.062,0.0,28.28,119.64,0.4,0.0,2.55,5
1778581701.45,indexing/sh_6k,21.062,21.062,0.0,28.26,119.64,0.5,0.0,2.55,5
1778581703.51,indexing/sh_6k,21.073,21.073,95.0,28.27,119.64,2.2,0.0,2.56,5
1778581705.60,indexing/sh_6k,21.081,21.081,94.0,28.27,119.64,5.4,0.0,2.56,5
1778581707.68,indexing/sh_6k,21.085,21.085,95.0,28.33,119.64,5.6,0.0,2.56,5
1778581709.77,indexing/sh_6k,21.089,21.089,95.0,28.36,119.64,5.6,0.0,2.56,5
1778581711.86,indexing/sh_6k,21.095,21.095,95.0,28.36,119.64,4.5,0.0,2.61,5
1778581713.95,indexing/sh_6k,21.097,21.097,95.0,28.36,119.64,5.7,0.0,2.61,5
1778581716.04,indexing/sh_6k,21.101,21.101,95.0,28.39,119.64,5.8,0.0,2.61,5
1778581718.14,indexing/sh_6k,21.101,21.101,96.0,28.38,119.64,5.7,0.0,2.61,5
1778581720.24,query/sh_6k,15.329,15.329,0.0,22.65,119.64,7.1,0.0,2.77,5
1778581722.30,query/sh_6k,15.329,15.329,0.0,22.63,119.64,0.4,0.0,2.77,5
1778581724.36,query/sh_6k,15.329,15.329,0.0,22.61,119.64,3.7,0.0,2.77,5
1778581726.41,query/sh_6k,15.329,15.329,0.0,22.61,119.64,0.5,0.0,2.77,5
1778581728.47,query/sh_6k,15.329,15.329,0.0,22.60,119.64,3.8,0.0,2.77,5
1778581730.53,query/sh_6k,15.329,15.329,0.0,22.59,119.64,3.9,0.0,2.77,5
1778581732.58,query/sh_6k,15.329,15.329,0.0,22.61,119.64,3.7,0.0,2.77,5
1778581734.63,query/sh_6k,15.335,15.335,20.0,22.61,119.64,3.5,0.0,2.77,5
1778581736.69,query/sh_6k,15.335,15.335,0.0,22.62,119.64,1.1,0.0,2.77,5
1778581738.78,query/sh_6k,15.335,15.335,0.0,22.64,119.64,3.6,0.0,2.77,5
1778581740.83,query/sh_6k,15.335,15.335,0.0,22.64,119.64,0.6,0.0,2.77,5
1778581742.91,query/sh_6k,15.335,15.335,22.0,22.64,119.64,3.8,0.0,2.77,5
1778581744.96,query/sh_6k,15.335,15.335,0.0,22.64,119.64,4.0,0.0,2.77,5
1778581747.01,query/sh_6k,15.335,15.335,0.0,22.63,119.64,3.8,0.0,2.77,5
1778581749.07,query/sh_6k,15.335,15.335,0.0,22.64,119.64,4.0,0.0,2.77,5
1778581751.13,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.6,0.0,2.77,5
1778581753.19,query/sh_6k,15.335,15.335,0.0,22.61,119.64,3.9,0.0,2.77,5
1778581755.25,query/sh_6k,15.335,15.335,1.0,22.64,119.64,3.8,0.0,2.77,5
1778581757.35,query/sh_6k,15.335,15.335,0.0,22.64,119.64,4.0,0.0,2.77,5
1778581759.40,query/sh_6k,15.335,15.335,92.0,22.65,119.64,3.9,0.0,2.77,5
1778581761.46,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.7,0.0,2.77,5
1778581763.56,query/sh_6k,15.335,15.335,0.0,22.60,119.64,3.8,0.0,2.77,5
1778581765.62,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.4,0.0,2.77,5
1778581767.67,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581769.72,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581771.77,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.3,0.0,2.77,5
1778581773.82,query/sh_6k,15.335,15.335,0.0,22.63,119.64,0.3,0.0,2.77,5
1778581775.87,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.4,0.0,2.77,5
1778581777.93,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581779.99,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581782.04,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581784.10,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581786.16,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581788.22,query/sh_6k,15.335,15.335,0.0,22.56,119.64,0.3,0.0,2.77,5
1778581790.27,query/sh_6k,15.335,15.335,0.0,22.56,119.64,0.3,0.0,2.77,5
1778581792.32,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581794.37,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581796.43,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581798.48,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.2,0.0,2.77,5
1778581800.53,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581802.58,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581804.63,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.4,0.0,2.77,5
1778581806.69,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.3,0.0,2.77,5
1778581808.75,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.4,0.0,2.77,5
1778581810.81,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.4,0.0,2.77,5
1778581812.86,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581814.92,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581816.97,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581819.02,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581821.07,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581823.12,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581825.18,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.4,0.0,2.77,5
1778581827.24,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581829.30,query/sh_6k,15.335,15.335,0.0,22.56,119.64,0.3,0.0,2.77,5
1778581831.36,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.4,0.0,2.77,5
1778581833.41,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581835.46,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581837.51,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581839.57,query/sh_6k,15.335,15.335,0.0,22.56,119.64,0.4,0.0,2.77,5
1778581841.63,query/sh_6k,15.335,15.335,0.0,22.57,119.64,0.3,0.0,2.77,5
1778581843.69,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581845.74,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.4,0.0,2.77,5
1778581847.79,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.3,0.0,2.77,5
1778581849.84,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.4,0.0,2.77,5
1778581851.89,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581853.94,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581856.00,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.4,0.0,2.77,5
1778581858.06,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581860.11,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.4,0.0,2.77,5
1778581862.17,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581864.23,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581866.28,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.3,0.0,2.77,5
1778581868.33,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581870.38,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.4,0.0,2.77,5
1778581872.43,query/sh_6k,15.335,15.335,0.0,22.63,119.64,0.3,0.0,2.77,5
1778581874.49,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.3,0.0,2.77,5
1778581876.54,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.4,0.0,2.77,5
1778581878.60,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581880.65,query/sh_6k,15.335,15.335,0.0,22.59,119.64,0.4,0.0,2.77,5
1778581882.70,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.2,0.0,2.77,5
1778581884.75,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.4,0.0,2.77,5
1778581886.80,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.3,0.0,2.77,5
1778581888.86,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581890.92,query/sh_6k,15.335,15.335,0.0,22.62,119.64,0.4,0.0,2.77,5
1778581892.97,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581895.02,query/sh_6k,15.335,15.335,0.0,22.61,119.64,0.3,0.0,2.77,5
1778581897.07,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581899.13,query/sh_6k,15.335,15.335,0.0,22.60,119.64,0.3,0.0,2.77,5
1778581901.19,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.4,0.0,2.77,5
1778581903.25,query/sh_6k,15.335,15.335,0.0,22.58,119.64,0.4,0.0,2.77,5
