ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778586824.34,init,0.000,0.000,0.0,5.03,119.64,0.0,0.0,0.02,2
1778586826.40,init,0.000,0.000,0.0,5.53,119.64,11.9,0.0,0.70,4
1778586828.45,setup/sh_6k,0.000,0.000,0.0,5.57,119.64,1.4,0.0,0.75,4
1778586830.51,setup/sh_6k,0.000,0.000,0.0,5.84,119.64,3.6,0.0,1.46,5
1778586832.58,indexing/sh_6k,0.412,0.412,2.0,6.51,119.64,3.7,0.0,1.73,5
1778586834.63,indexing/sh_6k,0.631,0.631,2.0,7.08,119.64,1.5,0.0,2.08,5
1778586836.68,indexing/sh_6k,1.041,1.041,2.0,7.87,119.64,1.7,0.0,2.43,5
1778586838.73,indexing/sh_6k,1.342,1.342,1.0,8.51,119.64,1.3,0.0,2.78,5
1778586840.78,indexing/sh_6k,1.752,1.752,3.0,9.32,119.64,1.7,0.0,3.18,5
1778586842.83,indexing/sh_6k,2.162,2.162,2.0,10.14,119.64,1.6,0.0,3.55,5
1778586844.89,indexing/sh_6k,2.463,2.463,2.0,10.78,119.64,1.5,0.0,3.90,5
1778586846.95,indexing/sh_6k,2.842,2.842,2.0,11.47,119.64,2.0,0.0,4.25,5
1778586849.00,indexing/sh_6k,3.201,3.201,2.0,12.23,119.64,1.5,0.0,4.61,5
1778586851.06,indexing/sh_6k,4.850,4.850,1.0,15.33,119.64,3.6,0.0,6.16,5
1778586853.11,indexing/sh_6k,5.068,5.068,2.0,11.78,119.64,2.2,0.0,1.80,5
1778586855.16,indexing/sh_6k,5.479,5.479,1.0,12.45,119.64,1.6,0.0,2.16,5
1778586857.22,indexing/sh_6k,6.189,6.189,2.0,13.59,119.64,2.0,0.0,2.90,5
1778586859.28,indexing/sh_6k,6.600,6.600,2.0,14.45,119.64,1.5,0.0,3.28,5
1778586861.33,indexing/sh_6k,6.869,6.869,2.0,15.02,119.64,1.8,0.0,3.63,5
1778586863.39,indexing/sh_6k,7.248,7.248,2.0,15.76,119.64,1.5,0.0,4.00,5
1778586865.45,indexing/sh_6k,8.049,8.049,2.0,17.26,119.64,1.8,0.0,4.73,5
1778586867.51,indexing/sh_6k,8.350,8.350,2.0,17.94,119.64,1.7,0.0,5.07,5
1778586869.57,indexing/sh_6k,8.760,8.760,2.0,18.73,119.64,1.2,0.0,5.44,5
1778586871.63,indexing/sh_6k,9.061,9.061,2.0,19.38,119.64,1.5,0.0,5.78,5
1778586873.69,indexing/sh_6k,9.389,9.389,2.0,20.07,119.64,1.4,0.0,6.13,5
1778586875.75,indexing/sh_6k,9.689,9.689,2.0,16.30,119.64,2.2,0.0,1.83,5
1778586877.82,indexing/sh_6k,10.400,10.400,2.0,17.33,119.64,1.7,0.0,2.49,5
1778586879.87,indexing/sh_6k,10.779,10.779,2.0,18.23,119.64,1.5,0.0,2.92,5
1778586881.93,indexing/sh_6k,11.139,11.139,2.0,18.98,119.64,1.3,0.0,3.29,5
1778586883.99,indexing/sh_6k,11.549,11.549,2.0,19.73,119.64,1.4,0.0,3.63,5
1778586886.05,indexing/sh_6k,12.260,12.260,2.0,21.19,119.64,1.7,0.0,4.35,5
1778586888.10,indexing/sh_6k,12.670,12.670,2.0,21.98,119.64,1.3,0.0,4.71,5
1778586890.16,indexing/sh_6k,12.971,12.971,2.0,22.63,119.64,1.3,0.0,5.08,5
1778586892.21,indexing/sh_6k,13.381,13.381,2.0,23.41,119.64,1.3,0.0,5.45,5
1778586894.27,indexing/sh_6k,13.791,13.791,2.0,24.19,119.64,1.2,0.0,5.82,5
1778586896.33,indexing/sh_6k,14.092,14.092,2.0,24.84,119.64,1.4,0.0,6.18,5
