ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778595105.19,init,0.000,0.000,0.0,5.09,119.64,0.0,0.0,0.02,2
1778595107.24,init,0.000,0.000,0.0,5.56,119.64,9.7,0.0,0.69,4
1778595109.32,setup/sh_6k,0.000,0.000,0.0,5.58,119.64,3.3,0.0,0.76,4
1778595111.38,setup/sh_6k,0.000,0.000,0.0,5.90,119.64,3.5,0.0,1.46,5
1778595113.44,indexing/sh_6k,0.412,0.412,1.0,6.57,119.64,2.2,0.0,1.74,5
1778595115.49,indexing/sh_6k,0.631,0.631,2.0,7.14,119.64,1.3,0.0,2.10,5
1778595117.54,indexing/sh_6k,1.041,1.041,2.0,7.92,119.64,1.5,0.0,2.45,5
1778595119.60,indexing/sh_6k,1.451,1.451,2.0,8.73,119.64,1.1,0.0,2.83,5
1778595121.65,indexing/sh_6k,1.861,1.861,2.0,9.50,119.64,1.6,0.0,3.25,5
1778595123.72,indexing/sh_6k,2.162,2.162,2.0,10.16,119.64,1.4,0.0,3.60,5
1778595125.77,indexing/sh_6k,2.572,2.572,2.0,10.89,119.64,1.5,0.0,3.94,5
1778595127.82,indexing/sh_6k,2.873,2.873,2.0,11.49,119.64,1.5,0.0,4.28,5
1778595129.88,indexing/sh_6k,3.201,3.201,2.0,12.22,119.64,1.4,0.0,4.63,5
1778595131.93,indexing/sh_6k,4.725,4.725,2.0,15.32,119.64,2.2,0.0,6.16,5
1778595134.00,indexing/sh_6k,5.068,5.068,2.0,11.85,119.64,1.9,0.0,1.81,5
1778595136.05,indexing/sh_6k,5.369,5.369,1.0,12.48,119.64,1.6,0.0,2.15,5
1778595138.11,indexing/sh_6k,6.189,6.189,2.0,13.67,119.64,1.6,0.0,2.90,5
1778595140.17,indexing/sh_6k,6.490,6.490,2.0,14.32,119.64,1.4,0.0,3.24,5
1778595142.23,indexing/sh_6k,6.838,6.838,2.0,15.04,119.64,1.3,0.0,3.59,5
1778595144.30,indexing/sh_6k,7.229,7.229,2.0,15.86,119.64,1.2,0.0,3.97,5
1778595146.36,indexing/sh_6k,8.049,8.049,2.0,17.31,119.64,1.8,0.0,4.72,5
1778595148.42,indexing/sh_6k,8.350,8.350,1.0,17.87,119.64,1.4,0.0,5.04,5
1778595150.48,indexing/sh_6k,8.650,8.650,2.0,18.52,119.64,1.4,0.0,5.38,5
1778595152.54,indexing/sh_6k,8.979,8.979,2.0,19.19,119.64,1.4,0.0,5.73,5
1778595154.60,indexing/sh_6k,9.389,9.389,1.0,19.97,119.64,1.4,0.0,6.09,5
1778595156.66,indexing/sh_6k,9.689,9.689,0.0,16.15,119.64,2.2,0.0,1.80,5
1778595158.72,indexing/sh_6k,9.990,9.990,1.0,16.79,119.64,1.3,0.0,2.15,5
1778595160.78,indexing/sh_6k,10.729,10.729,2.0,18.14,119.64,1.7,0.0,2.89,5
1778595162.84,indexing/sh_6k,11.139,11.139,1.0,18.92,119.64,1.4,0.0,3.25,5
1778595164.90,indexing/sh_6k,11.549,11.549,2.0,19.70,119.64,1.4,0.0,3.60,5
1778595166.96,indexing/sh_6k,12.260,12.260,2.0,21.19,119.64,1.6,0.0,4.36,5
1778595169.03,indexing/sh_6k,12.670,12.670,2.0,21.97,119.64,1.3,0.0,4.71,5
1778595171.09,indexing/sh_6k,12.971,12.971,2.0,22.64,119.64,1.4,0.0,5.06,5
1778595173.15,indexing/sh_6k,13.271,13.271,2.0,23.27,119.64,1.4,0.0,5.40,5
1778595175.20,indexing/sh_6k,13.650,13.650,2.0,24.04,119.64,1.3,0.0,5.76,5
1778595177.26,indexing/sh_6k,14.010,14.010,2.0,24.76,119.64,1.4,0.0,6.13,5
1778595179.32,indexing/sh_6k,14.393,14.393,1.0,20.97,119.64,2.1,0.0,1.76,5
1778595181.38,indexing/sh_6k,14.721,14.721,2.0,21.69,119.64,1.3,0.0,2.14,5
1778595183.43,indexing/sh_6k,14.965,14.965,2.0,21.88,119.64,2.6,0.0,2.35,5
1778595185.48,query/sh_6k,15.329,15.329,0.0,22.52,119.64,4.9,0.0,2.61,5
1778595187.53,query/sh_6k,15.329,15.329,0.0,22.54,119.64,4.1,0.0,2.61,5
1778595189.58,query/sh_6k,15.329,15.329,0.0,22.53,119.64,4.2,0.0,2.61,5
1778595191.68,query/sh_6k,15.329,15.329,0.0,22.54,119.64,7.2,0.0,2.61,5
1778595193.73,query/sh_6k,15.335,15.335,0.0,22.56,119.64,4.1,0.0,2.61,5
1778595195.78,query/sh_6k,15.335,15.335,0.0,22.58,119.64,4.0,0.0,2.61,5
1778595197.83,query/sh_6k,15.335,15.335,0.0,22.59,119.64,4.0,0.0,2.61,5
1778595199.89,query/sh_6k,15.335,15.335,0.0,22.55,119.64,3.9,0.0,2.61,5
1778595201.94,query/sh_6k,15.335,15.335,93.0,22.53,119.64,7.5,0.0,2.61,5
1778595203.99,query/sh_6k,15.335,15.335,0.0,22.55,119.64,4.0,0.0,2.61,5
1778595206.04,query/sh_6k,15.335,15.335,0.0,22.54,119.64,3.9,0.0,2.61,5
1778595208.10,query/sh_6k,15.335,15.335,0.0,22.54,119.64,4.2,0.0,2.61,5
1778595210.20,query/sh_6k,15.335,15.335,89.0,22.53,119.64,7.3,0.0,2.61,5
1778595212.26,query/sh_6k,15.335,15.335,0.0,22.51,119.64,4.0,0.0,2.61,5
1778595214.32,query/sh_6k,15.335,15.335,0.0,22.47,119.64,7.5,0.0,2.61,5
1778595216.38,query/sh_6k,15.335,15.335,93.0,22.47,119.64,4.1,0.0,2.61,5
1778595218.44,query/sh_6k,15.335,15.335,0.0,22.46,119.64,4.0,0.0,2.61,5
1778595220.50,query/sh_6k,15.335,15.335,0.0,22.47,119.64,4.2,0.0,2.61,5
1778595222.58,query/sh_6k,15.335,15.335,0.0,22.48,119.64,7.3,0.0,2.61,5
1778595224.63,query/sh_6k,15.335,15.335,0.0,22.48,119.64,3.9,0.0,2.62,5
1778595226.68,query/sh_6k,15.335,15.335,93.0,22.46,119.64,4.0,0.0,2.62,5
1778595228.74,query/sh_6k,15.335,15.335,93.0,22.47,119.64,4.2,0.0,2.62,5
1778595230.84,query/sh_6k,15.335,15.335,0.0,22.44,119.64,7.4,0.0,2.62,5
1778595232.89,query/sh_6k,15.335,15.335,0.0,22.46,119.64,3.9,0.0,2.62,5
1778595234.95,query/sh_6k,15.335,15.335,0.0,22.45,119.64,4.2,0.0,2.62,5
1778595237.04,query/sh_6k,15.397,15.397,95.0,22.53,119.64,7.7,0.0,2.62,5
1778595239.10,query/sh_6k,15.397,15.397,0.0,22.53,119.64,3.9,0.0,2.62,5
1778595241.15,query/sh_6k,15.397,15.397,91.0,22.55,119.64,4.7,0.0,2.62,5
1778595243.21,query/sh_6k,15.397,15.397,92.0,22.56,119.64,4.2,0.0,2.62,5
1778595245.26,query/sh_6k,15.397,15.397,0.0,22.58,119.64,3.9,0.0,2.62,5
1778595247.31,query/sh_6k,15.397,15.397,0.0,22.55,119.64,4.9,0.0,2.62,5
