ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778597041.22,init,0.000,0.000,0.0,5.07,119.64,0.0,0.0,0.01,2
1778597043.28,init,0.000,0.000,0.0,5.55,119.64,10.4,0.0,0.69,4
1778597045.35,setup/sh_6k,0.000,0.000,0.0,5.60,119.64,2.4,0.0,0.76,4
1778597047.42,setup/sh_6k,0.000,0.000,0.0,5.87,119.64,3.4,0.0,1.47,5
1778597049.47,indexing/sh_6k,0.412,0.412,1.0,6.52,119.64,2.4,0.0,1.75,5
1778597051.54,indexing/sh_6k,0.740,0.740,1.0,7.25,119.64,1.5,0.0,2.12,5
1778597053.59,indexing/sh_6k,1.041,1.041,1.0,7.91,119.64,1.6,0.0,2.48,5
1778597055.65,indexing/sh_6k,1.451,1.451,1.0,8.72,119.64,1.2,0.0,2.85,5
1778597057.70,indexing/sh_6k,1.861,1.861,1.0,9.52,119.64,1.5,0.0,3.26,5
1778597059.75,indexing/sh_6k,2.162,2.162,1.0,10.16,119.64,1.4,0.0,3.61,5
1778597061.81,indexing/sh_6k,2.572,2.572,1.0,10.95,119.64,1.4,0.0,3.96,5
1778597063.86,indexing/sh_6k,2.982,2.982,1.0,11.61,119.64,1.3,0.0,4.32,5
1778597065.93,indexing/sh_6k,3.975,3.975,2.0,13.54,119.64,1.7,0.0,5.12,5
1778597067.99,indexing/sh_6k,4.850,4.850,1.0,15.56,119.64,1.9,0.0,6.21,5
1778597070.05,indexing/sh_6k,5.068,5.068,1.0,11.95,119.64,2.1,0.0,1.84,5
1778597072.11,indexing/sh_6k,5.479,5.479,1.0,12.71,119.64,1.5,0.0,2.19,5
1778597074.17,indexing/sh_6k,6.189,6.189,1.0,13.76,119.64,1.5,0.0,2.94,5
1778597076.23,indexing/sh_6k,6.600,6.600,2.0,14.54,119.64,1.4,0.0,3.31,5
1778597078.29,indexing/sh_6k,6.900,6.900,1.0,15.20,119.64,1.3,0.0,3.66,5
1778597080.34,indexing/sh_6k,7.279,7.279,1.0,15.93,119.64,1.3,0.0,4.02,5
1778597082.39,indexing/sh_6k,8.049,8.049,1.0,17.36,119.64,1.6,0.0,4.76,5
1778597084.46,indexing/sh_6k,8.400,8.400,2.0,18.06,119.64,1.3,0.0,5.12,5
1778597086.52,indexing/sh_6k,8.760,8.760,2.0,18.79,119.64,1.1,0.0,5.49,5
1778597088.58,indexing/sh_6k,9.170,9.170,1.0,19.59,119.64,1.3,0.0,5.87,5
1778597090.64,indexing/sh_6k,9.471,9.471,2.0,18.99,119.64,1.4,0.0,4.56,5
1778597092.70,indexing/sh_6k,9.799,9.799,1.0,16.55,119.64,2.0,0.0,1.96,5
1778597094.75,indexing/sh_6k,10.619,10.619,2.0,17.88,119.64,1.7,0.0,2.70,5
1778597096.81,indexing/sh_6k,10.920,10.920,1.0,18.52,119.64,1.6,0.0,3.05,5
1778597098.86,indexing/sh_6k,11.330,11.330,1.0,19.28,119.64,1.3,0.0,3.41,5
1778597100.92,indexing/sh_6k,11.631,11.631,2.0,19.94,119.64,1.3,0.0,3.77,5
1778597102.98,indexing/sh_6k,12.369,12.369,1.0,21.44,119.64,1.6,0.0,4.51,5
