ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778599144.25,init,0.000,0.000,0.0,5.16,119.64,0.0,0.0,0.02,2
1778599146.30,init,0.000,0.000,0.0,5.52,119.64,9.3,0.0,0.68,4
1778599148.38,setup/sh_6k,0.000,0.000,0.0,5.58,119.64,3.5,0.0,0.76,4
1778599150.45,setup/sh_6k,0.000,0.000,0.0,5.85,119.64,3.5,0.0,1.46,5
1778599152.51,indexing/sh_6k,0.412,0.412,0.0,6.48,119.64,2.5,0.0,1.73,5
1778599154.57,indexing/sh_6k,0.631,0.631,1.0,7.03,119.64,1.5,0.0,2.07,5
1778599156.64,indexing/sh_6k,1.041,1.041,2.0,7.80,119.64,1.5,0.0,2.41,5
1778599158.70,indexing/sh_6k,1.342,1.342,2.0,8.50,119.64,1.4,0.0,2.77,5
1778599160.75,indexing/sh_6k,1.861,1.861,2.0,9.49,119.64,1.3,0.0,3.22,5
1778599162.82,indexing/sh_6k,2.162,2.162,2.0,10.16,119.64,1.4,0.0,3.60,5
1778599164.88,indexing/sh_6k,2.572,2.572,1.0,10.92,119.64,1.4,0.0,3.94,5
1778599166.94,indexing/sh_6k,2.842,2.842,1.0,11.52,119.64,1.5,0.0,4.28,5
1778599169.00,indexing/sh_6k,3.201,3.201,1.0,12.25,119.64,1.4,0.0,4.64,5
1778599171.06,indexing/sh_6k,4.850,4.850,1.0,15.47,119.64,2.1,0.0,6.18,5
1778599173.11,indexing/sh_6k,5.068,5.068,1.0,11.83,119.64,2.1,0.0,1.80,5
1778599175.16,indexing/sh_6k,5.369,5.369,1.0,12.47,119.64,1.3,0.0,2.15,5
1778599177.22,indexing/sh_6k,6.189,6.189,1.0,13.66,119.64,1.7,0.0,2.90,5
1778599179.27,indexing/sh_6k,6.490,6.490,2.0,14.32,119.64,1.2,0.0,3.26,5
1778599181.33,indexing/sh_6k,6.900,6.900,2.0,15.13,119.64,1.3,0.0,3.64,5
1778599183.39,indexing/sh_6k,7.229,7.229,2.0,15.83,119.64,1.3,0.0,4.00,5
1778599185.45,indexing/sh_6k,8.049,8.049,2.0,17.27,119.64,1.5,0.0,4.75,5
1778599187.50,indexing/sh_6k,8.350,8.350,1.0,17.95,119.64,1.4,0.0,5.11,5
1778599189.56,indexing/sh_6k,8.760,8.760,2.0,18.74,119.64,1.2,0.0,5.47,5
1778599191.61,indexing/sh_6k,9.061,9.061,2.0,19.38,119.64,1.4,0.0,5.80,5
1778599193.67,indexing/sh_6k,9.389,9.389,1.0,20.02,119.64,1.5,0.0,6.13,5
1778599195.73,indexing/sh_6k,9.689,9.689,1.0,16.23,119.64,2.1,0.0,1.83,5
1778599197.79,indexing/sh_6k,10.510,10.510,2.0,17.60,119.64,1.7,0.0,2.57,5
1778599199.85,indexing/sh_6k,10.748,10.748,1.0,18.16,119.64,1.4,0.0,2.89,5
