ts,phase,gpu_mem_tree_gb,gpu_mem_total_gb,gpu_util_pct,ram_used_gb,ram_total_gb,cpu_pct_sys,cpu_pct_proc_tree,rss_tree_gb,tree_pid_count
1778599906.20,init,0.000,0.000,0.0,5.24,119.64,0.0,0.0,0.01,2
1778599908.26,init,0.000,0.000,0.0,5.58,119.64,11.6,0.0,0.72,4
1778599910.32,setup/sh_6k,0.000,0.000,0.0,5.61,119.64,1.0,0.0,0.76,4
1778599912.38,setup/sh_6k,0.000,0.000,0.0,5.89,119.64,3.9,0.0,1.49,5
1778599914.44,indexing/sh_6k,0.412,0.412,0.0,6.55,119.64,2.0,0.0,1.76,5
1778599916.51,indexing/sh_6k,0.740,0.740,2.0,7.25,119.64,1.4,0.0,2.12,5
1778599918.57,indexing/sh_6k,1.041,1.041,2.0,7.94,119.64,1.3,0.0,2.48,5
1778599920.63,indexing/sh_6k,1.451,1.451,2.0,8.70,119.64,1.3,0.0,2.84,5
1778599922.68,indexing/sh_6k,1.861,1.861,1.0,9.54,119.64,1.5,0.0,3.25,5
1778599924.74,indexing/sh_6k,2.271,2.271,2.0,10.24,119.64,1.2,0.0,3.62,5
1778599926.79,indexing/sh_6k,2.572,2.572,1.0,10.98,119.64,1.5,0.0,3.97,5
1778599928.85,indexing/sh_6k,2.982,2.982,1.0,11.76,119.64,1.4,0.0,4.34,5
1778599930.91,indexing/sh_6k,4.225,4.225,1.0,13.84,119.64,1.9,0.0,5.42,5
1778599932.98,indexing/sh_6k,4.850,4.850,2.0,15.62,119.64,1.9,0.0,6.26,5
1778599935.03,indexing/sh_6k,5.178,5.178,2.0,12.22,119.64,2.1,0.0,1.90,5
1778599937.09,indexing/sh_6k,5.588,5.588,2.0,12.89,119.64,1.3,0.0,2.27,5
1778599939.15,indexing/sh_6k,6.299,6.299,1.0,14.06,119.64,1.6,0.0,3.00,5
1778599941.20,indexing/sh_6k,6.600,6.600,1.0,14.76,119.64,1.5,0.0,3.34,5
1778599943.25,indexing/sh_6k,7.010,7.010,1.0,15.50,119.64,1.4,0.0,3.69,5
1778599945.30,indexing/sh_6k,7.279,7.279,1.0,16.13,119.64,1.4,0.0,4.04,5
1778599947.36,indexing/sh_6k,8.049,8.049,2.0,17.43,119.64,1.6,0.0,4.77,5
1778599949.41,indexing/sh_6k,8.400,8.400,1.0,18.18,119.64,1.2,0.0,5.14,5
1778599951.46,indexing/sh_6k,8.869,8.869,2.0,19.01,119.64,1.2,0.0,5.52,5
1778599953.52,indexing/sh_6k,9.170,9.170,1.0,19.64,119.64,1.4,0.0,5.87,5
1778599955.58,indexing/sh_6k,9.471,9.471,1.0,18.84,119.64,1.5,0.0,4.41,5
1778599957.63,indexing/sh_6k,9.799,9.799,1.0,16.49,119.64,2.0,0.0,1.94,5
1778599959.69,indexing/sh_6k,10.619,10.619,1.0,17.78,119.64,1.8,0.0,2.67,5
1778599961.74,indexing/sh_6k,10.920,10.920,1.0,18.55,119.64,1.4,0.0,3.03,5
1778599963.80,indexing/sh_6k,11.221,11.221,1.0,19.20,119.64,1.5,0.0,3.37,5
1778599965.85,indexing/sh_6k,11.600,11.600,2.0,19.96,119.64,1.3,0.0,3.72,5
1778599967.91,indexing/sh_6k,12.369,12.369,1.0,21.45,119.64,1.8,0.0,4.48,5
1778599969.96,indexing/sh_6k,12.779,12.779,2.0,22.26,119.64,1.2,0.0,4.85,5
1778599972.02,indexing/sh_6k,13.080,13.080,1.0,22.85,119.64,1.5,0.0,5.18,5
1778599974.08,indexing/sh_6k,13.490,13.490,1.0,23.67,119.64,1.4,0.0,5.55,5
1778599976.13,indexing/sh_6k,13.791,13.791,1.0,24.34,119.64,1.4,0.0,5.91,5
1778599978.19,indexing/sh_6k,14.143,14.143,1.0,24.99,119.64,1.3,0.0,6.25,5
1778599980.24,indexing/sh_6k,14.502,14.502,1.0,21.03,119.64,2.1,0.0,1.86,5
1778599982.29,indexing/sh_6k,14.830,14.830,1.0,21.84,119.64,1.4,0.0,2.22,5
1778599984.34,query/sh_6k,15.329,15.329,0.0,22.51,119.64,5.1,0.0,2.60,5
1778599986.43,query/sh_6k,15.329,15.329,0.0,22.51,119.64,2.2,0.0,2.61,5
1778599988.51,query/sh_6k,15.329,15.329,0.0,22.54,119.64,6.7,0.0,2.61,5
1778599990.61,query/sh_6k,15.335,15.335,92.0,22.59,119.64,11.5,0.0,2.61,5
1778599992.66,query/sh_6k,15.335,15.335,90.0,22.61,119.64,7.9,0.0,2.61,5
1778599994.71,query/sh_6k,15.335,15.335,0.0,22.59,119.64,4.0,0.0,2.61,5
1778599996.76,query/sh_6k,15.335,15.335,95.0,22.57,119.64,14.9,0.0,2.61,5
1778599998.85,query/sh_6k,15.335,15.335,0.0,22.58,119.64,10.7,0.0,2.61,5
1778600000.91,query/sh_6k,15.335,15.335,0.0,22.56,119.64,4.0,0.0,2.61,5
1778600003.00,query/sh_6k,15.335,15.335,85.0,22.53,119.64,14.8,0.0,2.61,5
1778600005.11,query/sh_6k,15.335,15.335,0.0,22.55,119.64,13.8,0.0,2.61,5
1778600007.17,query/sh_6k,15.335,15.335,84.0,22.54,119.64,11.1,0.0,2.61,5
1778600009.27,query/sh_6k,15.335,15.335,0.0,22.53,119.64,7.3,0.0,2.61,5
1778600011.33,query/sh_6k,15.335,15.335,0.0,22.52,119.64,3.9,0.0,2.61,5
1778600013.38,query/sh_6k,15.397,15.397,93.0,22.57,119.64,9.9,0.0,2.61,5
1778600015.48,query/sh_6k,15.397,15.397,90.0,22.56,119.64,15.2,0.0,2.61,5
1778600017.54,query/sh_6k,15.397,15.397,94.0,22.56,119.64,7.6,0.0,2.61,5
1778600019.59,query/sh_6k,15.397,15.397,0.0,22.55,119.64,4.0,0.0,2.61,5
1778600021.68,query/sh_6k,15.397,15.397,90.0,22.55,119.64,4.6,0.0,2.61,5
1778600023.78,query/sh_6k,15.397,15.397,86.0,22.53,119.64,6.5,0.0,2.61,5
